ID,Taxon,ManDiastimal ,ManAlveolar,ManM1,ManM2,ManM3,Premaxilla to Frontal,MaxDiastimal ,MaxAlveolar,MaxM1,MaxM2,MaxM3,Collection,State,County
2523,Peromyscus truei truei,6.77,4.12,1.75,1.09,0.77,19.09,3.41,4.16,1.70,1.22,1.10,FMNH,Nevada,
2524,Peromyscus truei truei,7.01,3.79,1.87,1.29,0.78,18.88,3.47,3.89,1.52,1.10,0.97,FMNH,Nevada,
2525,Peromyscus truei truei,6.71,3.69,1.55,1.05,0.79,18.54,3.38,4.03,1.45,1.06,0.97,FMNH,Nevada,
2527,Peromyscus truei truei,6.56,4.04,1.67,1.07,0.84,17.92,3.29,4.39,1.68,1.21,0.98,FMNH,Nevada,
2528,Peromyscus truei truei,6.73,4.06,1.65,1.16,0.82,18.43,3.42,4.09,1.62,1.16,1.07,FMNH,Nevada,
2531,Peromyscus truei truei,6.00,4.58,,,,18.02,3.27,4.80,,,,FMNH,Nevada,
2533,Peromyscus truei truei,7.09,4.02,1.74,1.11,0.93,19.36,3.47,4.33,1.61,1.36,1.16,FMNH,Nevada,
2534,Peromyscus truei truei,6.62,4.06,1.59,1.07,0.78,18.45,3.35,4.05,1.65,1.34,1.05,FMNH,Nevada,
2535,Peromyscus truei truei,6.94,3.90,1.76,1.15,0.71,18.46,3.21,3.96,1.55,1.21,1.11,FMNH,Nevada,
2536,Peromyscus truei truei,6.54,3.53,1.73,0.95,0.70,17.29,3.46,3.45,1.41,1.08,0.93,FMNH,Nevada,
3724,Peromyscus truei truei,6.99,4.11,1.72,1.26,0.78,18.55,3.67,4.14,1.57,1.16,1.02,FMNH,Nevada,
168583,Peromyscus truei nevadensis,7.26,4.11,1.87,1.17,0.74,19.28,3.29,4.13,1.67,1.26,0.97,FMNH,Nevada,
168584,Peromyscus truei nevadensis,7.24,3.95,1.95,1.38,0.63,19.46,3.75,4.10,1.76,1.28,0.95,FMNH,Nevada,
168585,Peromyscus truei nevadensis,7.13,3.99,1.89,1.37,0.68,18.40,3.25,4.29,1.78,1.38,1.11,FMNH,Nevada,
168586,Peromyscus truei nevadensis,6.55,4.04,1.92,1.13,0.69,17.85,2.92,4.09,1.61,1.38,1.02,FMNH,Nevada,
198350,Peromyscus truei nevadensis,7.36,4.02,1.94,1.24,0.64,19.85,3.57,4.20,1.73,1.33,1.02,FMNH,Nevada,
198351,Peromyscus truei nevadensis,7.23,3.94,1.88,1.23,0.74,20.38,3.21,3.83,1.70,1.29,1.00,FMNH,Nevada,
198352,Peromyscus truei nevadensis,7.09,4.15,1.84,1.22,0.82,19.48,3.35,4.24,1.71,1.25,1.08,FMNH,Nevada,
2522,Peromyscus truei,6.05,3.64,1.53,1.18,0.00,16.09,3.38,3.18,1.31,0.92,0.68,FMNH,Nevada,
2529,Peromyscus truei,6.17,3.37,1.65,1.03,0.60,17.26,2.45,3.37,1.25,0.96,0.92,FMNH,Nevada,
3857,Peromyscus truei,5.42,3.46,1.60,1.02,,,3.31,3.37,1.42,1.29,0.83,FMNH,Nevada,
3858,Peromyscus truei,5.82,3.39,1.53,0.86,0.58,15.96,2.85,3.34,1.28,1.21,0.78,FMNH,Nevada,
3860,Peromyscus truei,6.19,3.21,1.48,0.93,0.48,17.29,2.93,3.48,1.42,1.18,0.76,FMNH,Nevada,
3867,Peromyscus truei,5.62,3.35,1.61,1.03,0.57,15.73,2.47,3.27,1.44,1.11,0.68,FMNH,Nevada,
3542,Peromyscus truei,6.74,3.31,1.64,1.00,0.58,17.90,3.18,3.29,1.26,0.97,0.95,FMNH,Nevada,
3570,Peromyscus truei,6.63,3.71,1.59,1.07,0.73,17.54,3.57,3.47,1.41,1.00,0.88,FMNH,Nevada,
3571,Peromyscus truei,6.31,3.58,1.51,0.89,0.65,16.85,2.60,3.68,1.34,1.04,0.96,FMNH,Nevada,
3572,Peromyscus truei,6.36,3.76,1.64,1.12,0.70,16.82,3.32,3.76,1.48,1.23,0.92,FMNH,Nevada,
3574,Peromyscus truei,6.65,3.41,1.44,0.95,0.65,17.87,3.50,3.32,1.45,0.96,0.76,FMNH,Nevada,
3578,Peromyscus truei,6.07,3.43,1.58,1.04,0.61,17.44,3.08,3.55,1.50,1.12,0.84,FMNH,Nevada,
3602,Peromyscus truei,6.17,3.47,1.53,0.99,0.51,15.78,3.47,3.48,1.29,0.93,0.94,FMNH,Nevada,
